transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
180,1900-01-00,10:47:00,117,Male,41,Clothing,3,300,129,900
522,1900-01-00,11:00:00,52,Male,46,Beauty,3,500,145,1500
559,1900-01-00,10:48:00,5,Female,40,Clothing,4,300,84,1200
1180,1900-01-00,08:53:00,85,Male,41,Clothing,3,300,129,900
1522,1900-01-00,08:35:00,48,Male,46,Beauty,3,500,235,1500
1559,1900-01-00,07:40:00,49,Female,40,Clothing,4,300,144,1200
163,1900-01-00,09:38:00,144,Female,64,Clothing,3,50,23,150
303,1900-01-00,11:09:00,54,Male,19,Electronics,3,30,14.7,90
421,1900-01-00,08:43:00,66,Female,37,Clothing,3,500,235,1500
979,1900-01-00,10:18:00,6,Female,19,Beauty,1,25,10.5,25
1163,1900-01-00,10:52:00,120,Female,64,Clothing,3,50,27,150
1303,1900-01-00,08:59:00,58,Male,19,Electronics,3,30,15,90
1421,1900-01-00,07:07:00,59,Female,37,Clothing,3,500,185,1500
1979,1900-01-00,11:34:00,102,Female,19,Beauty,1,25,7.75,25
610,1900-01-00,06:56:00,137,Female,26,Beauty,2,300,93,600
1610,1900-01-01,10:18:00,1,Female,26,Beauty,2,300,102,600
32,1900-01-01,09:11:00,150,Male,30,Beauty,3,30,8.4,90
231,1900-01-01,07:02:00,50,Female,23,Clothing,3,50,26.5,150
683,1900-01-01,10:22:00,82,Male,38,Beauty,2,500,175,1000
1032,1900-01-01,08:15:00,1,Male,30,Beauty,3,30,10.5,90
1231,1900-01-01,07:05:00,12,Female,23,Clothing,3,50,23,150
1683,1900-01-01,07:19:00,98,Male,38,Beauty,2,500,220,1000
367,1900-01-01,07:03:00,123,Female,57,Electronics,1,50,18,50
391,1900-01-01,07:37:00,68,Male,19,Beauty,2,25,6.25,50
432,1900-01-01,11:31:00,17,Female,,Electronics,2,500,190,1000
1367,1900-01-01,11:38:00,16,Female,,Electronics,1,50,15.5,50
1391,1900-01-01,11:29:00,130,Male,,Beauty,2,25,9.25,50
1432,1900-01-01,06:24:00,67,Female,,Electronics,2,500,245,1000
150,1900-01-01,08:25:00,89,Female,,Electronics,4,30,16.2,120
845,1900-01-01,10:12:00,25,Male,,Clothing,1,500,145,500
1150,1900-01-01,10:04:00,77,Female,,Electronics,4,30,10.2,120
1845,1900-01-01,07:06:00,94,Male,,Clothing,1,500,185,500
797,1900-01-01,06:38:00,116,Male,,Clothing,3,25,10.75,75
921,1900-01-01,09:34:00,101,Male,,Electronics,3,25,8,75
1797,1900-01-01,11:47:00,147,Male,40,Clothing,3,25,12.25,75
1921,1900-01-01,07:01:00,77,Male,51,Electronics,3,25,7.5,75
291,1900-01-01,08:29:00,15,Male,60,Clothing,2,300,126,600
907,1900-01-01,06:16:00,145,Female,45,Electronics,1,25,8.5,25
1291,1900-01-01,11:19:00,72,Male,60,Clothing,2,300,153,600
1907,1900-01-02,11:21:00,115,Female,45,Electronics,1,25,9,25
860,1900-01-02,08:58:00,85,Male,63,Clothing,4,50,16,200
1860,1900-01-02,11:21:00,57,Male,63,Clothing,4,50,18,200
184,1900-01-02,06:44:00,128,Male,31,Electronics,4,50,17,200
734,1900-01-02,08:54:00,77,Female,27,Clothing,1,30,15.6,30
1184,1900-01-02,08:28:00,23,Male,31,Electronics,4,50,27.5,200
1734,1900-01-02,08:58:00,72,Female,27,Clothing,1,30,14.4,30
